ID,NAME,PROVINCECODE,PROVINCE,CITYCODE,CITY,COUNTYCODE,COUNTY,TYPE,TYPECODE,ADDRESS,XGCJ,YGCJ,XWGS,YWGS,RATE,COST
B000A9IR8A,旭辉·御府,420000,湖北省,027,武汉市,420115,江夏区,商务住宅;住宅区;住宅小区,120302,东湖新技术开发区高新四路16号,114.448073,30.451548,114.442612203,30.4539146774,,18916.00
B0016193T4,华景新城5期,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,硚4手口区中山大道105号,114.263534,30.569342,114.258122545,30.57181017,,
B001B08HLN,博学仕府,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,解放大道172-10号,114.217666,30.584625,114.212205009,30.5870724292,,19070.00
B001B08IL9,长江委酒宝荡小区,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,建设大道802-2号,114.294541,30.614877,114.289107946,30.6172953404,,17881.00
B001B08VGR,后湖馨居,420000,湖北省,027,武汉市,420114,蔡甸区,商务住宅;住宅区;住宅小区,120302,神龙大道158号,114.150448,30.512094,114.144813809,30.5144527783,,7341.00
B001B094HE,兰庭居,420000,湖北省,027,武汉市,420111,洪山区,商务住宅;住宅区;住宅小区,120302,雄楚大道409号,114.368043,30.507807,114.36251377,30.5101358046,,17364.00
B001B09DBT,省电社区(武汉大道),420000,湖北省,027,武汉市,420111,洪山区,商务住宅;住宅区;住宅小区,120302,徐东大街349号,114.366848,30.576697,114.36131395,30.5790041345,,
B001B09FRD,泰塑学生公寓,420000,湖北省,027,武汉市,420115,江夏区,商务住宅;住宅区;宿舍,120303,流芳大道22,114.432467,30.456441,114.426969209,30.458780537,,11400.00
B001B09JHP,武钢科技人才园,420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,建设八路红钢二街,114.400642,30.645114,114.395089782,30.6473682429,,
B001B09WLL,怡和苑北区,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,安居西路118号,114.310482,30.643728,114.30502557,30.6461077918,,19847.00
B001B0A00G,大智小区,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,交易街96号,114.293837,30.590048,114.288406864,30.5924772078,,18920.00
B001B0A70V,金色世家,420000,湖北省,027,武汉市,420105,汉阳区,商务住宅;住宅区;住宅小区,120302,十里铺458号,114.219207,30.556645,114.213751466,30.5591043534,,15951.00
B001B0I0JK,秀水佳园,420000,湖北省,027,武汉市,420112,东西湖区,商务住宅;住宅区;住宅小区,120302,啤砖路50,114.13977,30.649498,114.134095927,30.6517882575,3.5,
B001B0I0UL,杨园街电力新村社区,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,和平大道729对面,114.343112,30.597886,114.337607532,30.6002233951,,22749.00
B001B0I3VZ,桥西社区服务中心,420000,湖北省,027,武汉市,420105,汉阳区,商务住宅;住宅区;社区中心,120304,知音西村69号江汉二桥街派出所附近,114.209586,30.567337,114.204109221,30.5697807444,,
B001B0I4TS,江宏花园C区,420000,湖北省,027,武汉市,420111,洪山区,商务住宅;住宅区;住宅小区,120302,恒安路345号附近,114.31702199999999,30.517146,114.311566555,30.519561163900001,,15752.00
B001B0I5N5,利北社区(宝丰街),420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,解放大道1123号,114.266908,30.576905,114.261495803,30.5793684203,,18607.00
B001B0I735,东湖高新区关东街南湖社区,420000,湖北省,027,武汉市,420115,江夏区,商务住宅;住宅区;住宅小区,120302,三环线,114.378180,30.463578,114.372646505,30.4659076617,,
B001B0IGWB,南航小区,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,杨汊湖长港路民航小区附近(南航花苑旁),114.241178,30.627994,114.235749388,30.6304414908,,14452.00
B001B0IH50,公安宿舍(营房路),420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;宿舍,120303,营房路193-197号,114.247064,30.58219,114.24164469,30.5846569441,,
B001B0IHTA,教育局宿舍(万松园横路),420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;宿舍,120303,万松横路37号,114.262649,30.587751999999998,114.25723590299999,30.5902137532,,
B001B0IHTL,江汉大学汉口校区宿舍,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;宿舍,120303,球场街办事处球场路163号,114.289938,30.602339,114.284510823,30.6047689819,3.0,10000.00
B001B0IIT2,武车小区,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,徐家棚赵家墩车站紫金医院粮道街中学旁,114.331649,30.582219,114.326164276,30.5845839157,,19444.00
B001B0IJ7Y,德润社区二德里安全小区,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,吉庆街47号,114.290831,30.585346,114.28540441,30.5877813266,,19428.00
B001B0IJCD,聚友小区(建设二路),420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,吉林街14号,114.376682,30.621039,114.371135707,30.6233170766,,
B001B0IJGJ,轻机宿舍,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;宿舍,120303,团结路13号,114.337710,30.588895,114.332214858,30.5912458892,,19034.00
B001B0IJH5,四美新村社区,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,和平大道,114.342814,30.600619,114.337309757,30.6029558665,,22386.00
B001B0IJLJ,和平花苑东区,420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,青山区园林北巷与园林路交叉口东100米,114.363219,30.620101,114.357685055,30.6223961686,,16698.00
B001B0IJST,蔡家田社区A区,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,江大路与三眼桥路交汇处190米,114.278598,30.619613,114.273178148,30.6220497889,,18040.00
B001B0IJUG,工人新村,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,三眼桥北路16号,114.275177,30.612351,114.269759506,30.6147941313,,15012.00
B001B0IKB1,电信宿舍(解放公园路),420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;宿舍,120303,解放公园路55号,114.291608,30.607331,114.286178727,30.6097566602,,18085.00
B001B0IL15,长航一院宿舍,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;宿舍,120303,三眼桥路75号,114.283248,30.608528,114.277826038,30.6109641049,,
B001B0ILA5,煤气公司宿舍(北湖正街),420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;宿舍,120303,北湖街办事处北湖正街24号,114.276229,30.601181,114.270811985,30.6036275971,,20192.00
B001B0ILLT,纺织宿舍,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;宿舍,120303,北湖街办事处台北路238号台北路234-号,114.277293,30.602642,114.271875325,30.6050869733,,16580.00
B001B0ILWD,六街坊社区,420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,建设九路,114.404546,30.641202,114.398996044,30.6434579744,,12250.00
B001B0ILY2,钢花新村116街坊,420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,工业路68号,114.385475,30.622291,114.37992425,30.6245609291,,16402.00
B001B0IM6A,金域花园(建设四路),420000,湖北省,027,武汉市,420107,青山区,商务住宅;住宅区;住宅小区,120302,工业大道,114.386415,30.625756,114.380863674,30.628023845,,16893.00
B001B0IN4A,东北小区(知音东路),420000,湖北省,027,武汉市,420105,汉阳区,商务住宅;住宅区;住宅小区,120302,知音东路琴台大道交汇南行100米路西,114.215789,30.567437,114.210325679,30.5698886201,,14501.00
B001B0INDD,营一庭院,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,营房路29号附近,114.250387,30.578979,114.244970304,30.5814472608,,17879.00
B001B0INPR,港务村,420000,湖北省,027,武汉市,420105,汉阳区,商务住宅;住宅区;住宅小区,120302,两湖路与晴川大道交叉口西北方向120米,114.257221,30.520913,114.251812546,30.5234002086,5.0,
B001B0IO3B,和平社区,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,沿江大道42号,114.292728,30.56866,114.287300899,30.5710988216,,19166.00
B001B06VV9,海天一色(听涛路),420000,湖北省,027,武汉市,420114,蔡甸区,商务住宅;住宅区;住宅小区,120302,听涛路20号,114.12111,30.475596,114.115410979,30.4779254659,,16783.00
B001B08IOH,长寿社区(长堤街),420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,长堤街473号,114.267191,30.5679,114.261779548,30.5703665409,,17605.00
B001B08MM8,发展社区,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,二环线与展望路交汇处,114.226874,30.599936,114.221428512,30.6023865893,,15000.00
B001B08NNZ,福隆花园,420000,湖北省,027,武汉市,420102,江岸区,商务住宅;住宅区;住宅小区,120302,马祖路15号,114.287626,30.597169,114.282201426,30.5996041247,,21564.00
B001B08TW8,恒丰苑国信新城2期,420000,湖北省,027,武汉市,420105,汉阳区,商务住宅;住宅区;住宅小区,120302,琴台大道503号(龙阳大道与琴台大道交汇处),114.21819305419922,30.568599700927734,114.21273803710937,30.571054458618164,,
B001B08XP8,华银城小区,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,建设大道737号,114.274813,30.598878,114.269396825,30.6013268377,,17357.00
B001B091OK,金色雅园金沙苑,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,常青一路88号,114.24861907958984,30.624065399169922,114.24319458007812,30.626516342163086,,17700.00
B001B093TX,康怡苑小区,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,古田路46号,114.193679,30.591045,114.18816052,30.5934553138,,13509.00
B001B09C4N,三五零六社区,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,宝丰街,114.262813,30.57582,114.257400943,30.5782861587,,19501.00
B001B09DL5,圣锦苑,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,武胜二路,114.265288,30.570165,114.259876487,30.5726318979,,22923.00
B001B09DNM,湖工小区,420000,湖北省,027,武汉市,420111,洪山区,商务住宅;住宅区;住宅小区,120302,南李路30号,114.310527,30.473595,114.305085207,30.4760347387,,
B001B09HHK,同乐社区,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,友谊南路,114.283298,30.569598,114.277879356,30.5720489518,,16728.00
B001B09Z4Q,硚口区社区服务中心,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;社区中心,120304,幸乐一村8号,114.264603,30.571330,114.259191398,30.5737968653,,
B001B0A8ZV,武汉梅苑小区,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,紫阳东路80附25附近,114.327095,30.532056,114.321622076,30.534447289,,21680.00
B001B0IOZZ,新河社区船院小区,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,临江大道387号附近,114.314395,30.575018,114.308938625,30.577418286699999,,18387.00
B001B0IPH2,海山·友谊城,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,友谊路5-7号,114.28044128417969,30.57512092590332,114.2750244140625,30.577573776245117,,21714.00
B001B0IPIK,东湖·香榭水岸,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,东湖路328号,114.361219,30.564393,114.35569224,30.5667125938,,26528.00
B001B0IPIN,同馨花园一期,420000,湖北省,027,武汉市,420104,硚口区,商务住宅;住宅区;住宅小区,120302,解放大道586号,114.257647,30.576454,114.252233906,30.5789219905,,25019.00
B001B0IPKS,双左小区,420000,湖北省,027,武汉市,420103,江汉区,商务住宅;住宅区;住宅小区,120302,京汉大道与双洞正街交叉口西北方向80米,114.275102,30.580617,114.269687273,30.5830725755,,17352.00
B001B0IQJC,湖北省民主党派机关团体宿舍,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;宿舍,120303,首义路街街道首义路71号,114.310544,30.537573,114.305096664,30.5399934448,,16927.00
B001B0IQOR,湖北省公安厅西院,420000,湖北省,027,武汉市,420106,武昌区,商务住宅;住宅区;住宅小区,120302,付家坡一路33号,114.330844,30.529172,114.325365195,30.5315570558,4.0,
