ID,NAME,PROVINCECODE,PROVINCE,CITYCODE,CITY,COUNTYCODE,COUNTY,TYPE,TYPECODE,ADDRESS,XGCJ,YGCJ,XWGS,YWGS,RATE,COST
B001B03263,汉春晓小学,420000,湖北省,027,武汉市,420116,黄陂区,科教文化服务;学校;小学,141203,横花线与044县道交叉口东南150米,114.304117,30.939092,114.298643863,30.9413262963,3.0,
B001B04910,武汉市财政学校学术报告厅,420000,湖北省,027,武汉市,420105,汉阳区,科教文化服务;学校;职业技术学校|科教文化服务;会展中心;会展中心,141206|140300,玉龙路地铁站E口西北150米,114.19947999999999,30.565405999999999,114.193978946,30.567835446499998,,
B001B06IFF,新洲八屋慧济希望小学,420000,湖北省,027,武汉市,420117,新洲区,科教文化服务;学校;小学,141203,035县道西100米,114.735844,30.831612,114.730570453,30.8339561822,,
B001B08I8V,易家墩小学,420000,湖北省,027,武汉市,420104,硚口区,科教文化服务;学校;小学,141203,古田一路45号,114.184196,30.608729,114.178649777,30.6111155755,,
B001B08KR6,丹水池小学,420000,湖北省,027,武汉市,420102,江岸区,科教文化服务;学校;小学,141203,丹水池小路2号,114.332334,30.643643,114.326842813,30.6459817201,,
B001B08VYP,武汉电力职业技术学院,420000,湖北省,027,武汉市,420102,江岸区,科教文化服务;学校;职业技术学校,141206,新湖五村特1号,114.341617,30.654094,114.336109965,30.6564106891,,
B001B08XU2,华中农业大学经济管理学院,420000,湖北省,027,武汉市,420111,洪山区,科教文化服务;学校;高等院校,141201,狮子山街1号华中农业大学,114.358235,30.471159,114.352720019,30.4735123476,3.5,
B001B08YQW,武汉机电工程学校北区,420000,湖北省,027,武汉市,420102,江岸区,科教文化服务;学校;职业技术学校,141206,建设新村590号(近建设新村路),114.312517,30.639424999999999,114.307057904,30.641802970099999,2.0,
B001B09029,江岸区新村小学,420000,湖北省,027,武汉市,420102,江岸区,科教文化服务;学校;小学,141203,二七路192号,114.314787,30.628076,114.309325426,30.6304546253,,
B001B097MN,萌芽幼儿园(六顺路),420000,湖北省,027,武汉市,420112,东西湖区,科教文化服务;学校;幼儿园,141204,六顺路106号,114.133592,30.621756,114.127905711,30.6240493881,0.0,
B001B09FDJ,四唯路小学,420000,湖北省,027,武汉市,420102,江岸区,科教文化服务;学校;小学,141203,四唯小路13号,114.305887,30.599612,114.300440986,30.6020181145,,
B001B09J0N,乌龙泉街福利院老年学校,420000,湖北省,027,武汉市,420115,江夏区,科教文化服务;学校;成人教育,141205,纸贺路东50米,114.334297,30.226764,114.328838635,30.2291976077,3.0,
B001B09JBQ,张家湾小学,420000,湖北省,027,武汉市,420111,洪山区,科教文化服务;学校;小学,141203,洲乔木湾,114.28943,30.49935,114.28401218,30.501816282,,
B001B09JCT,武昌实验寄宿小学(南湖校区),420000,湖北省,027,武汉市,420106,武昌区,科教文化服务;学校;小学,141203,建安街43号,114.311243,30.505466,114.305797399,30.5078953639,,
B001B09Q38,樱花双语幼儿园,420000,湖北省,027,武汉市,420106,武昌区,科教文化服务;学校;幼儿园,141204,东亭路10号东亭花园内,114.363876,30.569128,114.358345775,30.5714420156,0.0,
B001B09SVX,中共区建设乡胡漖村委员会党校,420000,湖北省,027,武汉市,420111,洪山区,科教文化服务;学校;学校,141200,焦沙路武汉化学工业区建设中心小学西北侧约130米,114.461262,30.645483,114.455823229,30.6478121244,,
